[      72ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:4176/node_modules/.vite/deps/react-dom_client.js?v=84b78edc:20100
[ 4936934ms] [LOG] [vite] server connection lost. Polling for restart... @ http://127.0.0.1:4176/@vite/client:963
[ 4936935ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4937938ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4938942ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4939946ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4940951ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4941960ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4942975ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4943987ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4945028ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4946071ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4947189ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4948422ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4950010ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4951841ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4953549ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4958785ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4961777ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4966207ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4968853ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4973147ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4975625ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4978361ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4981243ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4986464ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4992089ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 4997422ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5000207ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5003599ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5005970ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5011424ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5014445ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5017058ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5022271ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5025812ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5029805ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5032433ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5037774ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
[ 5042086ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4176/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:4176/@vite/client:1034
